deliverable,priority,start_date,end_date,team,type
Marketing Release,100,2/11/14,4/1/14,CrisisNet,external
UI Redesign,100,1/1/14,3/1/14,Crowdmap,core
Api Set up,100,2/11/14,12/15/14,External Projects,external
Crisis Preparedness,100,2/11/14,6/1/14,External Projects,external
IFES First V3 version,100,2/11/14,4/15/14,External Projects,external
IFES V3 testing version,100,2/11/14,5/1/14,External Projects,external
Open Explorer ,100,2/11/14,5/15/14,External Projects,external
New strategy,100,2/11/14,3/31/14,MAVC,external
70/30 time,100,2/11/14,6/30/14,Operations,ops
Awesome team retreat figured out,100,2/11/14,11/1/14,Operations,ops
Review Process design and implemented,100,2/11/14,8/15/14,Operations,ops
Scoping with each city CRO,100,2/11/14,9/30/14,RRI,external
3.0 Launch,100,2/11/14,7/30/14,V3,core
Fix the business card process,200,2/11/14,2/27/14,Operations,ops
Full hardware and software extensability,250,2/11/14,5/15/14,BRCK,core
Volume Production,250,2/11/14,6/30/14,BRCK,core
Another major external project,250,2/11/14,6/1/14,Crowdmap,core
VIP,250,2/11/14,8/15/14,Crowdmap,core
Google Platform Code ,250,2/11/14,10/1/14,External Projects,external
Staffing,250,2/11/14,8/15/14,MAVC,external
BETA,250,2/11/14,4/5/14,V3,core
1st BRCK Shipped,400,2/11/14,4/15/14,BRCK,core
Google Project-Completed API,400,2/11/14,7/1/14,External Projects,external
UN Project Closed,400,2/11/14,8/30/14,External Projects,external
Finalized Onboarding process,400,2/11/14,3/31/14,Operations,ops
Intergrate the lopad into team calls,400,2/11/14,2/16/14,Operations,ops
Procedure Manual,400,2/11/14,3/29/14,Operations,ops
1st Migration Deployment,400,2/11/14,11/30/14,V3,core
Documentation,400,2/11/14,5/1/14,V3,core
1st Big Client,500,2/11/14,6/1/14,BRCK,core
Full release V1,500,2/11/14,10/1/14,CrisisNet,external
O Auth,500,2/11/14,9/1/14,Crowdmap,core
Granting,500,2/11/14,5/2/14,MAVC,external
Improved Simpler Communication,600,2/11/14,10/1/14,Operations,ops
IP66 version 2,750,2/11/14,8/15/14,BRCK,core
UN project 1st design deliverable,750,2/11/14,5/15/14,External Projects,external
Timely Financial Reporting,750,2/11/14,4/7/14,Operations,ops
5 Cities Chosen,750,2/11/14,6/30/14,RRI,external
World Vision,800,2/11/14,3/31/14,External Projects,external
Full seed funding,1000,1/1/14,2/28/14,BRCK,core
Dev Community,1000,2/11/14,12/1/14,CrisisNet,external
Scaling and Optimisation,1000,2/11/14,5/1/14,Crowdmap,core
IFES Election Launch V3,1000,2/11/14,6/1/14,External Projects,external
Peace Earth,1000,2/11/14,5/1/14,External Projects,external
Global Innovation Competition,1000,2/11/14,3/1/14,MAVC,external
Managing HR Partner,1000,2/11/14,7/14/14,Operations,ops
SDK Launched and Marketed,2000,2/11/14,8/1/14,Crowdmap,core
Google Project,2000,2/11/14,4/1/14,External Projects,external
Full Scope of CRO,2000,2/11/14,12/15/14,RRI,external
1st real deployment,2000,2/11/14,9/1/14,V3,core
BETA,,4/14/14,,,milestone
3.0 Launch,,7/29/14,,,milestone
1st real deploy,,8/29/14,,,milestone
1st migration,,11/29/14,,,milestone
,,,,,milestone
